#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
1.0,Apr 256:36 PM,Staten Island,Hagerstown,6-1,"Dunaway, M","Richardson, D",final|,1,1,0.008,0.0
1.0,May  26:41 PM,Lexington,High Point,6-5,"Wicklander, P","Edwards, J",final|,1,1,0.0026,0.9938
1.0,May  27:01 PM,Hagerstown,Staten Island,2-4,"McSweeney, M","Martinez, J",final|,1,1,0.0,0.008
1.0,Apr 296:48 PM,Lancaster,York,4-9,"Galdoni, L","Killgore, K",final|,1,1,0.005,0.825
1.0,May  26:50 PM,Gastonia,Lancaster,5-6,"Gilliam, R","Wells, N",final|,1,1,0.0,0.005
1.0,May  26:53 PM,S Maryland,Charleston,7-5,"Kahaloa, I","Lusk, L",final|,1,1,,0.0036
1.0,Apr 256:40 PM,High Point,S Maryland,6-4,"Edwards, J","Miller, J",final|,1,1,0.9938,
1.0,Apr 256:40 PM,Lancaster,Long Island,9-1,"Skirrow, N","Gant, J",final|,2,1,0.005,0.162
1.0,Apr 257:03 PM,Charleston,Lexington,1-2,"Laio, N","McGowin, K",final|,1,1,0.0036,0.0026
1.0,Apr 257:00 PM,York,Gastonia,,,,Gastonia,1,1,0.825,0.0
2.0,Apr 266:34 PM,Lancaster,Long Island,5-13,"Plesac, Z","Swarmer, M",final|,3,2,0.005,0.162
2.0,Apr 267:02 PM,York,Gastonia,10-9,"Robinson, C","Myatt, T",final|,2,2,0.825,0.0
2.0,Apr 267:05 PM,Charleston,Lexington,5-9,"Wicklander, P","Sampson, K",final|,2,2,0.0036,0.0026
2.0,Apr 267:54 PM,High Point,S Maryland,14-4,"Scolaro, J","Kahaloa, I",final|,2,2,0.9938,
2.0,May  33:31 PM,Hagerstown,Staten Island,5-12,"Oxford, B","Corcino, D",final|,2,2,0.0,0.008
2.0,May  36:35 PM,Lexington,High Point,,,,Cancelled,2,2,0.0026,0.9938
2.0,May  36:40 PM,S Maryland,Charleston,2-4,"Sampson, K","Hennessey, J",final|,2,2,,0.0036
2.0,Apr 306:34 PM,Lancaster,York,7-8,"Robinson, C","Diehl, P",final|,4,2,0.005,0.825
2.0,Apr 266:03 PM,Staten Island,Hagerstown,13-3,"Oxford, B","Martinez, J",final|,2,2,0.008,0.0
2.0,May  36:49 PM,Gastonia,Lancaster,6-3,"Sheffield, J","Garbrick, A",final|,2,2,0.0,0.005
3.0,May  16:33 PM,Lancaster,York,10-6,"Rees, J","Veen, Z",final|,5,3,0.005,0.825
3.0,May  36:22 PM,Hagerstown,Staten Island,6-8,"Andrews, T","Saturria, M",final|,3,3,0.0,0.008
3.0,May  46:01 PM,Lexington,High Point,1-3,"Frisbee, M","Tully, T",final|,3,3,0.0026,0.9938
3.0,May  45:54 PM,S Maryland,Charleston,7-2,"Campbell, M","Reyes, S",final|,3,3,,0.0036
3.0,Apr 274:01 PM,York,Gastonia,11-3,"Pace, F","Grey, C",final|,3,3,0.825,0.0
3.0,Apr 272:06 PM,High Point,S Maryland,17-10,"Backman, B","Thurman, A",final|,3,3,0.9938,
3.0,Apr 272:06 PM,Charleston,Lexington,3-17,"Eastman, C","Endersby, J",final|,3,3,0.0036,0.0026
3.0,Apr 272:04 PM,Staten Island,Hagerstown,5-8,"Corcino, D","Sigman, J",final|,3,3,0.008,0.0
3.0,Apr 271:36 PM,Lancaster,Long Island,3-2,"Engler, S","Washington, M",final|,6,3,0.005,0.162
3.0,May  42:03 PM,Gastonia,Lancaster,8-7,"Horvath, N","Diehl, P",final|,3,3,0.0,0.005
4.0,May  66:37 PM,Lexington,Charleston,0-4,"Lebron, D","Castillo, W",final|,4,4,0.0026,0.0036
4.0,May  66:48 PM,S Maryland,Lancaster,7-4,"Vazquez, R","Brennan, T",final|,4,4,,0.005
4.0,May  96:30 PM,York,Hagerstown,,,,Hagerstown,4,4,0.825,0.0
4.0,May  74:04 PM,Long Island,Staten Island,10-9,"Griffin, D","Capuano, C",final|,1,4,0.162,0.008
4.0,May  611:08 AM,Gastonia,High Point,14-8,"Myatt, T","Solter, M",final|,4,4,0.0,0.9938
4.0,May  26:32 PM,Long Island,York,10-2,"Gant, J","Pace, F",final|,2,4,0.162,0.825
4.0,Apr 2812:31 PM,High Point,Gastonia,3-0,"Solter, M","Smith, K",final|,4,4,0.9938,0.0
4.0,Apr 296:34 PM,Staten Island,Long Island,12-10,"Baker, R","Williams, P",final|,4,4,0.008,0.162
4.0,Apr 296:39 PM,Charleston,S Maryland,6-3,"Meza, C","Campbell, M",final|,4,4,0.0036,
4.0,Apr 298:36 PM,Hagerstown,Lexington,5-4,"Quintana, F","Tully, T",final|,4,4,0.0,0.0026
5.0,Apr 282:49 PM,High Point,Gastonia,7-4,"Frisbee, M","Scott, A",final|,5,5,0.9938,0.0
5.0,May  710:39 AM,Lexington,Charleston,4-3,"Laio, N","Hill, J",final|,5,5,0.0026,0.0036
5.0,May  77:07 PM,Long Island,Staten Island,2-3,"Mahoney, J","Tropeano, N",final|,3,5,0.162,0.008
5.0,May 106:06 PM,York,Hagerstown,11-2,"Scott, W","Corcino, D",final|,5,5,0.825,0.0
5.0,Apr 3010:32 AM,Hagerstown,Lexington,3-6,"Castillo, W","Picone, D",final|,5,5,0.0,0.0026
5.0,Apr 306:33 PM,Staten Island,Long Island,8-4,"Dunaway, M","Senger, M",final|,5,5,0.008,0.162
5.0,Apr 306:37 PM,Charleston,S Maryland,12-8,"Del Prado, N","Kelly, J",final|,5,5,0.0036,
5.0,May  36:30 PM,Long Island,York,,,,"Postponed to:May 04, 01:00 PM",4,5,0.162,0.825
5.0,May  76:49 PM,S Maryland,Lancaster,4-3,"Semple, S","Skirrow, N",final|,5,5,,0.005
5.0,May  76:38 PM,Gastonia,High Point,3-4,"Scolaro, J","Sheffield, J",final|,5,5,0.0,0.9938
6.0,May  810:34 AM,Long Island,Staten Island,3-1,"Flores, B","Higgins, C",final|,5,6,0.162,0.008
6.0,May  86:39 PM,Gastonia,High Point,3-6,"Barraclough, K","Wells, N",final|,6,6,0.0,0.9938
6.0,May  87:39 PM,Lexington,Charleston,2-1,"Wicklander, P","McGowin, K",final|,6,6,0.0026,0.0036
6.0,May  16:34 PM,Staten Island,Long Island,10-5,"Oxford, B","Alintoff, J",final|,6,6,0.008,0.162
6.0,May  44:13 PM,Long Island,York,10-9,"Washington, M","Scott, W",final|,6,6,0.162,0.825
6.0,May  110:39 AM,Charleston,S Maryland,1-3,"Semple, S","McGowin, K",final|,6,6,0.0036,
6.0,May  112:03 PM,Hagerstown,Lexington,6-13,"Laio, N","Kickham, M",final|,6,6,0.0,0.0026
6.0,May 112:06 PM,York,Hagerstown,5-4,"Llovera, M","Kelly, R",final|,6,6,0.825,0.0
6.0,Apr 296:33 PM,High Point,Gastonia,2-11,"Hennen, R","Guerrieri, T",final|,6,6,0.9938,0.0
7.0,May 136:38 PM,Staten Island,Charleston,3-7,"Meza, C","Capuano, C",final|,7,7,0.008,0.0036
7.0,May 166:38 PM,Lexington,High Point,11-3,"Tully, T","Frisbee, M",final|,7,7,0.0026,0.9938
7.0,May  97:20 PM,Lancaster,Long Island,1-11,"Gant, J","Swarmer, M",final|,7,7,0.005,0.162
7.0,May  97:04 PM,High Point,Gastonia,9-10,"Myatt, T","Lewis, J",final|,7,7,0.9938,0.0
7.0,May  96:37 PM,Charleston,S Maryland,6-7,"Sherfy, J","Demurias, E",final|,7,7,0.0036,
7.0,May  97:04 PM,Staten Island,Lexington,1-11,"Eastman, C","Mejia, A",final|,8,7,0.008,0.0026
7.0,May 167:06 PM,Gastonia,Staten Island,9-2,"Sheffield, J","Mejia, A",final|,7,7,0.0,0.008
7.0,May  75:05 PM,Hagerstown,York,2-4,"Denoyer, N","Richardson, D",final|,7,7,0.0,0.825
7.0,May 167:08 PM,Long Island,Lancaster,4-6,"McAvene, M","Washington, M",final|,7,6,0.162,0.005
8.0,May 107:00 PM,Staten Island,Lexington,2-3,"Haab, J","Meeker, J",final|,9,8,0.008,0.0026
8.0,May 107:18 PM,High Point,Gastonia,4-2,"Backman, B","Kruglewicz, P",final|,8,8,0.9938,0.0
8.0,May 171:03 PM,Gastonia,Staten Island,3-4,"Allegretti, C","Myatt, T",final|,8,8,0.0,0.008
8.0,May  43:37 PM,Lexington,High Point,0-5,"Emanuel, K","Eastman, C",final|,8,8,0.0026,0.9938
8.0,May 106:35 PM,Lancaster,Long Island,0-1,"Plesac, Z","Killgore, K",final|,8,8,0.005,0.162
8.0,May 176:37 PM,Lexington,High Point,0-17,"Solter, M","Castillo, W",final|,9,9,0.0026,0.9938
8.0,May  78:01 PM,Hagerstown,York,3-2,"Kelly, R","Dula, H",final|,8,8,0.0,0.825
8.0,May 176:52 PM,Long Island,Lancaster,2-5,"Brennan, T","Hillman, J",final|,8,7,0.162,0.005
8.0,May 146:41 PM,Staten Island,Charleston,5-7,"Hill, J","Mahoney, J",final|,10,8,0.008,0.0036
8.0,May 106:39 PM,Charleston,S Maryland,7-2,"Sampson, K","Hennessey, J",final|,8,8,0.0036,
8.0,May 142:20 PM,Lancaster,Hagerstown,2-3,"Maruskin, J","Rees, J",final|,9,7,0.005,0.0
9.0,May 156:40 PM,Staten Island,Charleston,9-2,"Meeker, J","Del Prado, N",final|,11,9,0.008,0.0036
9.0,May 156:39 PM,Lancaster,Hagerstown,9-8,"Engler, S","Weisenburger, J",final|,10,8,0.005,0.0
9.0,May 181:37 PM,Gastonia,Staten Island,7-8,"Andrews, T","Horvath, N",final|,9,9,0.0,0.008
9.0,May 184:08 PM,Lexington,High Point,3-9,"Uelmen, E","Laio, N",final|,10,10,0.0026,0.9938
9.0,May  811:03 AM,Hagerstown,York,7-11,"Pace, F","Kickham, M",final|,9,9,0.0,0.825
9.0,May 114:03 PM,High Point,Gastonia,5-4,"Edwards, J","Blanton, B",final|,9,9,0.9938,0.0
9.0,May 112:09 PM,Charleston,S Maryland,2-3,"Vazquez, R","Gilman, N",final|,9,9,0.0036,
9.0,May 112:03 PM,Staten Island,Lexington,1-7,"Castillo, W","Williamson, R",final|,12,9,0.008,0.0026
9.0,May 111:34 PM,Lancaster,Long Island,2-3,"Melville, T","Gilliam, R",final|,11,9,0.005,0.162
9.0,May 182:01 PM,Long Island,Lancaster,10-4,"Griffin, D","Bremer, N",final|,9,8,0.162,0.005
10.0,May 206:32 PM,Lexington,Gastonia,4-6,"Thompson, C","Wicklander, P",final|,11,10,0.0026,0.0
10.0,May 206:37 PM,Long Island,Staten Island,8-6,"Asa, J","Meeker, J",final|,10,10,0.162,0.008
10.0,May 236:33 PM,S Maryland,Hagerstown,11-1,"Thurman, A","Martinez, J",final|,6,9,,0.0
10.0,May 206:50 PM,Hagerstown,Lancaster,5-14,"Skirrow, N","Richardson, D",final|,10,9,0.0,0.005
10.0,May 307:03 PM,Hagerstown,High Point,3-6,"Halbohn, K","Goodson, D",final|,11,11,0.0,0.9938
10.0,May 166:39 PM,S Maryland,Charleston,0-3,"Henriquez, J","Hennessey, J",final|,7,10,,0.0036
10.0,May 167:18 PM,Hagerstown,York,2-12,"Palm, T","Martinez, J",final|,12,10,0.0,0.825
10.0,May 136:33 PM,Gastonia,Long Island,3-7,"Griffin, D","Wells, N",final|,10,10,0.0,0.162
10.0,May 136:47 PM,High Point,Lexington,6-7,"Laio, N","Uelmen, E",final|,10,10,0.9938,0.0026
10.0,May 1410:40 AM,York,S Maryland,0-3,"Semple, S","Walker, M",final|,7,10,0.825,
11.0,May 216:49 PM,Hagerstown,Lancaster,6-3,"Picone, D","Swarmer, M",final|,13,10,0.0,0.005
11.0,May 2112:32 PM,Lexington,Gastonia,7-6,"Ross, D","Snyder, N",final|,12,11,0.0026,0.0
11.0,May 2110:35 AM,Long Island,Staten Island,7-10,"McSweeney, M","Sharp, S",final|,11,11,0.162,0.008
11.0,May 1410:31 AM,High Point,Lexington,5-2,"Barraclough, K","Wicklander, P",final|,11,11,0.9938,0.0026
11.0,May 246:06 PM,S Maryland,Hagerstown,9-7,"Hennessey, J","Corcino, D",final|,8,10,,0.0
11.0,May 316:37 PM,Hagerstown,High Point,1-8,"Barraclough, K","Richardson, D",final|,14,12,0.0,0.9938
11.0,May 176:36 PM,Hagerstown,York,5-7,"Galdoni, L","Corcino, D",final|,15,11,0.0,0.825
11.0,May 146:34 PM,Gastonia,Long Island,2-4,"Case, B","Scott, A",final|,11,11,0.0,0.162
11.0,May 141:06 PM,York,S Maryland,2-3,"Kahaloa, I","Churchill, I",final|,8,11,0.825,
11.0,May 176:39 PM,S Maryland,Charleston,3-9,"Sampson, K","Kelly, J",final|,9,11,,0.0036
12.0,Jun  14:31 PM,Hagerstown,High Point,0-6,"Emanuel, K","Picone, D",final|,16,13,0.0,0.9938
12.0,May 252:04 PM,S Maryland,Hagerstown,2-7,"Richardson, D","Semple, S",final|,10,11,,0.0
12.0,May 156:50 PM,High Point,Lexington,18-8,"Emanuel, K","Eastman, C",final|,12,12,0.9938,0.0026
12.0,May 227:21 PM,Long Island,Staten Island,7-1,"Plesac, Z","Mejia, A",final|,12,12,0.162,0.008
12.0,May 2211:07 AM,Hagerstown,Lancaster,5-7,"Rees, J","Kickham, M",final|,17,11,0.0,0.005
12.0,May 183:08 PM,S Maryland,Charleston,5-8,"Lusk, L","Vazquez, R",final|,11,12,,0.0036
12.0,May 213:35 PM,Lexington,Gastonia,7-8,"Scott, A","Haab, J",final|,13,12,0.0026,0.0
12.0,May 156:37 PM,York,S Maryland,3-4,"McCabe, B","Robinson, C",final|,9,12,0.825,
12.0,May 156:36 PM,Gastonia,Long Island,5-2,"Underwood Jr., D","Flores, B",final|,12,12,0.0,0.162
12.0,May 181:04 PM,Hagerstown,York,5-17,"Coles, C","Rivera, E",final|,18,12,0.0,0.825
13.0,May 206:34 PM,S Maryland,York,6-7,"Robinson, C","Sherfy, J",final|,12,13,,0.825
13.0,May 306:35 PM,Gastonia,S Maryland,,,,"Postponed to:May 31, 06:00 PM",13,13,0.0,
13.0,May 236:38 PM,Staten Island,Long Island,9-1,"Allegretti, C","Hillman, J",final|,13,13,0.008,0.162
13.0,May 236:47 PM,York,Lancaster,0-3,"Killgore, K","Scott, W",final|,10,12,0.825,0.005
13.0,May 237:03 PM,High Point,Gastonia,9-3,"Solter, M","Grey, C",final|,13,13,0.9938,0.0
13.0,May 237:04 PM,Charleston,Lexington,3-1,"Henriquez, J","Tully, T",final|,10,13,0.0036,0.0026
13.0,May 276:33 PM,Lancaster,Staten Island,3-9,"McSweeney, M","Lacey, S",final|,12,13,0.005,0.008
13.0,May 207:32 PM,High Point,Charleston,8-2,"Barraclough, K","Endersby, J",final|,14,13,0.9938,0.0036
13.0,May 276:49 PM,York,Hagerstown,4-3,"Woolfolk, D","Picone, D",final|,11,12,0.825,0.0
13.0,Jun  36:37 PM,Charleston,High Point,5-4,"Demurias, E","Branche, S",final|,11,14,0.0036,0.9938
14.0,May 216:39 PM,S Maryland,York,5-4,"Kahaloa, I","Galdoni, L",final|,13,14,,0.825
14.0,May 286:30 PM,Lancaster,Staten Island,,,,"Postponed to:May 29, 12:30 PM",13,14,0.005,0.008
14.0,May 2811:00 AM,York,Hagerstown,,,,"Postponed to:May 29, 04:00 PM",12,13,0.825,0.0
14.0,May 216:40 PM,High Point,Charleston,12-4,"Emanuel, K","Hill, J",final|,15,14,0.9938,0.0036
14.0,Jun  46:37 PM,Charleston,High Point,2-3,"Solter, M","Henriquez, J",final|,12,15,0.0036,0.9938
14.0,May 319:26 PM,Gastonia,S Maryland,7-3,"Sheffield, J","Campbell, M",final|,14,14,0.0,
14.0,May 247:03 PM,Charleston,Lexington,4-5,"Haab, J","Reyes, S",final|,13,14,0.0036,0.0026
14.0,May 247:01 PM,High Point,Gastonia,6-2,"Uelmen, E","Smith, K",final|,16,14,0.9938,0.0
14.0,May 246:49 PM,York,Lancaster,1-8,"Bremer, N","Denz, D",final|,13,13,0.825,0.005
14.0,May 246:33 PM,Staten Island,Long Island,4-3,"Baker, R","Williams, P",final|,14,14,0.008,0.162
15.0,May 252:08 PM,Charleston,Lexington,4-2,"Lebron, D","Laio, N",final|,14,15,0.0036,0.0026
15.0,Jun  12:04 PM,Gastonia,S Maryland,12-5,"Underwood Jr., D","Miller, J",final|,15,15,0.0,
15.0,May 226:43 PM,High Point,Charleston,2-7,"McGowin, K","Backman, B",final|,17,15,0.9938,0.0036
15.0,May 296:58 PM,York,Hagerstown,4-0,"Scott, W","Reitz, M",final|,14,14,0.825,0.0
15.0,Jun  22:07 PM,S Maryland,York,3-5,"Llovera, M","Semple, S",final|,14,15,,0.825
15.0,May 2910:31 AM,Lancaster,Staten Island,3-2,"Engler, S","Dunaway, M",final|,14,15,0.005,0.008
15.0,May 252:03 PM,York,Lancaster,4-2,"Palm, T","Scafidi, C",final|,15,14,0.825,0.005
15.0,Jun  56:37 PM,Charleston,High Point,2-1,"Record, J","Ogle, B",final|,15,16,0.0036,0.9938
15.0,May 254:02 PM,High Point,Gastonia,13-12,"Lewis, J","Hennen, R",final|,18,15,0.9938,0.0
15.0,May 251:33 PM,Staten Island,Long Island,2-3,"Melville, T","Higgins, C",final|,15,15,0.008,0.162
16.0,Jun  66:33 PM,Long Island,Hagerstown,11-8,"Dipoto, J","Goodson, D",final|,13,15,0.162,0.0
16.0,Jun  36:35 PM,S Maryland,Long Island,3-4,"Nelson, B","Thompson, C",final|,15,16,,0.162
16.0,Jun  36:49 PM,Hagerstown,Lancaster,12-4,"Kickham, M","Killgore, K",final|,19,15,0.0,0.005
16.0,Jun  66:38 PM,S Maryland,High Point,1-3,"Barraclough, K","Vazquez, R",final|,16,17,,0.9938
16.0,May 276:31 PM,S Maryland,Gastonia,14-6,"Kahaloa, I","Underwood Jr., D",final|,17,16,,0.0
16.0,Jun 106:37 PM,Gastonia,S Maryland,8-10,"Hennessey, J","Hardy, H",final|,16,16,0.0,
16.0,May 307:03 PM,Lancaster,Staten Island,13-8,"Johnson, K","Barringer, S",final|,15,16,0.005,0.008
16.0,May 306:41 PM,Long Island,York,13-4,"Case, B","Churchill, I",final|,14,16,0.162,0.825
16.0,May 276:45 PM,Long Island,Lexington,16-7,"Sandberg, R","Wicklander, P",final|,15,16,0.162,0.0026
16.0,May 276:42 PM,High Point,Charleston,5-0,"Emanuel, K","Hill, J",final|,19,16,0.9938,0.0036
17.0,Jun  46:48 PM,Hagerstown,Lancaster,13-0,"Reitz, M","Green, M",final|,20,16,0.0,0.005
17.0,May 316:41 PM,Long Island,York,1-6,"Palm, T","Senger, M",final|,16,17,0.162,0.825
17.0,Jun  76:40 PM,S Maryland,High Point,10-7,"Thompson, C","Doyle, T",final|,18,18,,0.9938
17.0,Jun  76:01 PM,Long Island,Hagerstown,3-0,"Asa, J","Picone, D",final|,17,16,0.162,0.0
17.0,Jun 116:36 PM,Gastonia,S Maryland,10-3,"Wells, N","Martin, G",final|,17,17,0.0,
17.0,May 316:34 PM,Lancaster,Staten Island,8-1,"Skirrow, N","Mahoney, J",final|,16,17,0.005,0.008
17.0,May 286:48 PM,Long Island,Lexington,6-1,"Plesac, Z","Eastman, C",final|,18,17,0.162,0.0026
17.0,Jun  46:36 PM,S Maryland,Long Island,4-7,"Hillman, J","Campbell, M",final|,19,17,,0.162
17.0,May 2812:32 PM,S Maryland,Gastonia,12-8,"Willamson, N","Blanton, B",final|,20,17,,0.0
17.0,May 2810:40 AM,High Point,Charleston,1-7,"Reyes, S","Scolaro, J",final|,20,17,0.9938,0.0036
18.0,Jun  56:35 PM,S Maryland,Long Island,9-2,"Martin, G","Griffin, D",final|,21,18,,0.162
18.0,Jun  84:06 PM,S Maryland,High Point,4-3,"Thurman, A","Casad, C",final|,22,19,,0.9938
18.0,Jun  82:06 PM,Long Island,Hagerstown,2-3,"Kickham, M","Alintoff, J",final|,19,17,0.162,0.0
18.0,Jun  56:48 PM,Hagerstown,Lancaster,2-17,"Bremer, N","Saturria, M",final|,21,17,0.0,0.005
18.0,Jun 126:40 PM,Gastonia,S Maryland,8-9,"Scrubb, A","Snyder, N",final|,18,18,0.0,
18.0,Jun  11:04 PM,Long Island,York,3-11,"Pace, F","Sandberg, R",final|,20,18,0.162,0.825
18.0,May 297:01 PM,S Maryland,Gastonia,3-8,"Stem, C","Kelly, J",final|,23,18,,0.0
18.0,May 296:40 PM,High Point,Charleston,6-2,"Solter, M","Henriquez, J",final|,21,18,0.9938,0.0036
18.0,Jun  11:34 PM,Lancaster,Staten Island,3-4,"Dunaway, M","Alexy, A",final|,17,18,0.005,0.008
18.0,May 296:45 PM,Long Island,Lexington,6-9,"Tully, T","Alintoff, J",final|,21,18,0.162,0.0026
19.0,Jun 114:02 PM,High Point,Staten Island,5-4,"Solter, M","Baker, R",final|,22,19,0.9938,0.008
19.0,Jun  36:32 PM,Staten Island,York,10-3,"McSweeney, M","Scott, W",final|,16,19,0.008,0.825
19.0,Jun  36:31 PM,Lexington,Gastonia,1-2,"Horvath, N","Laio, N",final|,14,19,0.0026,0.0
19.0,Jun  66:50 PM,Staten Island,Lancaster,7-18,"Skirrow, N","Kubo, T",final|,17,18,0.008,0.005
